TVtest2, 1, 1, cat, 1, 0, , m, 23, 047.jpg, singleton, cat_singleton, 0.0024, 0, -1.0000
TVtest2, 1, 1, cat, 2, 0, , n, 18, 035.jpg, singleton, cat_singleton, 0.0025, 0, -1.0000
TVtest2, 1, 1, cat, 3, 0, , m, 23, 047.jpg, singleton, cat_singleton_2back, 0.0026, 0, -1.0000
TVtest2, 1, 1, cat, 4, 0, , n, 3, 025.jpg, same, cat_same_pair1, 0.0021, 0, -1.0000
TVtest2, 1, 1, cat, 5, 1, m, n, 4, 036.jpg, same, cat_same_pair2, 0.0012, 0, 0.0976
TVtest2, 1, 1, cat, 6, 1, n, m, 21, 017.jpg, singleton, cat_singleton, 0.0014, 0, 0.0015
TVtest2, 1, 1, cat, 7, 1, n, m, 7, 068.jpg, same, cat_same_pair1, 0.0010, 0, 0.2219
TVtest2, 1, 1, cat, 8, 1, m, m, 8, 042.jpg, same, cat_same_pair2, 0.0022, 1, 0.3718
TVtest2, 1, 1, cat, 9, 1, n, m, 7, 068.jpg, same, cat_same_pair1_2back, 0.0009, 0, 0.6481
TVtest2, 1, 1, cat, 10, 1, m, m, 22, 013.jpg, singleton, cat_singleton, 0.0012, 1, 0.3981
TVtest2, 1, 1, cat, 11, 1, m, m, 5, 022.jpg, same, cat_same_pair1, 0.0021, 1, 0.2956
TVtest2, 1, 1, cat, 12, 1, n, m, 6, 008.jpg, same, cat_same_pair2, 0.0011, 0, 0.4224
TVtest2, 1, 1, cat, 13, 1, m, n, 20, 080.jpg, singleton, cat_singleton, 0.0018, 0, 0.3211
TVtest2, 1, 1, cat, 14, 1, n, m, 6, 008.jpg, same, cat_same_pair2_2back, 0.0011, 0, 0.4225
TVtest2, 1, 1, cat, 15, 1, n, m, 24, 015.jpg, singleton, cat_singleton, 0.0005, 0, 0.4729
TVtest2, 1, 1, cat, 16, 1, m, m, 11, 031.jpg, different, cat_different_pair1, 0.0027, 1, 0.5449
TVtest2, 1, 1, cat, 17, 1, n, n, 12, 050.jpg, different, cat_different_pair2, 0.0021, 1, 0.5956
