2, 2, 1, cat, 1, 0, , 1!, 18, 041.jpg, singleton, cat_singleton, 0.0122, 0, -1.0000
2, 2, 1, cat, 2, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0142, 1, 0.5626
2, 2, 1, cat, 3, 1, 2@, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0162, 0, 0.7606
2, 2, 1, cat, 4, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1_2back, 0.0015, 1, 0.5995
2, 2, 1, cat, 5, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0035, 1, 0.7256
2, 2, 1, cat, 6, 1, 1!, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0055, 0, 0.6753
2, 2, 1, cat, 7, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton_2back, 0.0075, 1, 0.5296
2, 2, 1, cat, 8, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0095, 1, 0.6155
2, 2, 1, cat, 9, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0114, 1, 0.6057
2, 2, 1, cat, 10, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1_2back, 0.0135, 1, 0.6036
2, 2, 1, cat, 11, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0155, 1, 0.6256
2, 2, 1, cat, 12, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0175, 1, 0.7117
2, 2, 1, cat, 13, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0028, 1, 0.7024
2, 2, 1, cat, 14, 1, 2@, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0048, 0, 0.6600
2, 2, 1, cat, 15, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0068, 0, 0.7220
2, 2, 1, cat, 16, 1, 1!, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0088, 0, 0.5520
2, 2, 1, cat, 17, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0109, 0, 0.5982
2, 2, 1, cat, 18, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0128, 1, 0.5401
2, 2, 1, cat, 19, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0148, 1, 0.6259
2, 2, 1, cat, 20, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0168, 1, 0.8483
2, 2, 1, cat, 21, 1, 1!, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0021, 0, 0.7509
