2, 3, 1, nback, 1, 0, , 1!, 31, 011.jpg, same, nback_same_pair1, 0.0120, 0, -1.0000
2, 3, 1, nback, 2, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0142, 1, 0.7055
2, 3, 1, nback, 3, 1, 2@, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0162, 0, 0.6553
2, 3, 1, nback, 4, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0014, 1, 0.6062
2, 3, 1, nback, 5, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0035, 1, 0.6922
2, 3, 1, nback, 6, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0055, 1, 0.5700
2, 3, 1, nback, 7, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0075, 1, 0.5760
2, 3, 1, nback, 8, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0095, 1, 0.4938
2, 3, 1, nback, 9, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0114, 1, 0.5642
2, 3, 1, nback, 10, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0135, 1, 0.5061
2, 3, 1, nback, 11, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0154, 1, 0.4883
2, 3, 1, nback, 12, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0175, 1, 0.4622
2, 3, 1, nback, 13, 1, 2@, 2@, 36, 043.jpg, different, nback_different_pair2_2back, 0.0027, 1, 0.5008
2, 3, 1, nback, 14, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0048, 1, 0.4667
2, 3, 1, nback, 15, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0068, 1, 0.5285
2, 3, 1, nback, 16, 1, 2@, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0088, 0, 0.6068
2, 3, 1, nback, 17, 1, 2@, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0108, 1, 0.5729
2, 3, 1, nback, 18, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0128, 1, 0.4587
2, 3, 1, nback, 19, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0148, 1, 0.4965
2, 3, 1, nback, 20, 1, 2@, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0168, 1, 0.8066
2, 3, 1, nback, 21, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0021, 1, 0.4856
2, 3, 1, nback, 22, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0041, 1, 0.4756
2, 3, 1, nback, 23, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0059, 1, 0.6336
2, 3, 1, nback, 24, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0081, 1, 0.6472
2, 3, 1, nback, 25, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0099, 1, 0.6135
2, 3, 1, nback, 26, 1, 2@, 2@, 42, 025.jpg, singleton, nback_singleton_2back, 0.0119, 1, 0.6038
2, 3, 1, nback, 27, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0141, 1, 0.4655
2, 3, 1, nback, 28, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0159, 1, 0.4479
2, 3, 1, nback, 29, 1, 2@, 2@, 26, 090.jpg, same, nback_same_pair2_2back, 0.0014, 1, 0.5103
2, 3, 1, nback, 30, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0034, 1, 0.3482
2, 3, 2, cat, 1, 1, 1!, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0164, 0, 0.7192
2, 3, 2, cat, 2, 1, 2@, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0017, 0, 0.7015
2, 3, 2, cat, 3, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0037, 1, 0.5001
2, 3, 2, cat, 4, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0057, 1, 0.5458
