1, 3, 1, cat, 1, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0122, 1, 0.7773
1, 3, 1, cat, 2, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0142, 1, 0.7113
1, 3, 1, cat, 3, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0161, 1, 0.6370
1, 3, 1, cat, 4, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0015, 1, 0.6362
1, 3, 1, cat, 5, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0033, 1, 0.8182
1, 3, 1, cat, 6, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton_2back, 0.0055, 1, 0.7361
1, 3, 1, cat, 7, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0075, 1, 0.7261
1, 3, 1, cat, 8, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0093, 1, 0.7877
1, 3, 1, cat, 9, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2_2back, 0.0115, 1, 0.6339
1, 3, 1, cat, 10, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1_2back, 0.0134, 1, 0.7362
1, 3, 1, cat, 11, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0154, 1, 0.6942
1, 3, 1, cat, 12, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0174, 1, 0.7882
1, 3, 1, cat, 13, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0028, 1, 0.6748
1, 3, 1, cat, 14, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0048, 1, 0.7527
1, 3, 1, cat, 15, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0067, 1, 0.6548
1, 3, 1, cat, 16, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0086, 1, 0.7729
