1, 4, 1, nback, 1, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0123, 1, 0.3393
1, 4, 1, nback, 2, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0142, 1, 0.2732
1, 4, 1, nback, 3, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0162, 1, 0.5835
1, 4, 1, nback, 4, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0013, 1, 0.7585
1, 4, 1, nback, 5, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0036, 1, 0.7321
1, 4, 1, nback, 6, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0055, 1, 0.6098
1, 4, 1, nback, 7, 1, 2@, 2@, 37, 083.jpg, different, nback_different_pair1_2back, 0.0075, 1, 0.6803
1, 4, 1, nback, 8, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0094, 1, 0.5583
1, 4, 1, nback, 9, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0115, 1, 0.8280
1, 4, 1, nback, 10, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0134, 1, 0.7224
1, 4, 1, nback, 11, 1, 2@, 2@, 30, 057.jpg, same, nback_same_pair2_2back, 0.0154, 1, 0.7043
1, 4, 1, nback, 12, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0175, 1, 0.6302
1, 4, 1, nback, 13, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0029, 1, 0.6529
1, 4, 1, nback, 14, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0047, 1, 0.7149
1, 4, 1, nback, 15, 0, , 1!, 28, 074.jpg, same, nback_same_pair2, 0.0069, 0, -1.0000
1, 4, 1, nback, 16, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0086, 1, 0.5427
1, 4, 1, nback, 17, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0108, 1, 0.6209
1, 4, 1, nback, 18, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0127, 1, 0.7226
1, 4, 1, nback, 19, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0148, 1, 0.5528
1, 4, 1, nback, 20, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0167, 1, 0.6469
1, 4, 1, nback, 21, 1, 1!, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0021, 0, 0.7815
1, 4, 1, nback, 22, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0041, 1, 0.6278
1, 4, 1, nback, 23, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0060, 1, 0.6095
1, 4, 1, nback, 24, 1, 1!, 2@, 46, 051.jpg, singleton, nback_singleton_2back, 0.0081, 0, 0.8314
1, 4, 1, nback, 25, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0101, 1, 0.5416
1, 4, 1, nback, 26, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0121, 1, 0.5956
1, 4, 1, nback, 27, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0141, 1, 0.6976
