2, 4, 1, cat, 1, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0123, 1, 0.6309
2, 4, 1, cat, 2, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0143, 1, 0.6526
2, 4, 1, cat, 3, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0163, 1, 0.4590
2, 4, 1, cat, 4, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0016, 1, 0.4897
2, 4, 1, cat, 5, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1_2back, 0.0036, 1, 0.4636
2, 4, 1, cat, 6, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0056, 1, 0.5815
2, 4, 1, cat, 7, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0076, 1, 0.4837
2, 4, 1, cat, 8, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0096, 1, 0.7776
2, 4, 1, cat, 9, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0116, 1, 0.4876
2, 4, 1, cat, 10, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0136, 1, 0.5736
2, 4, 1, cat, 11, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0156, 1, 0.5076
2, 4, 1, cat, 12, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0176, 1, 0.5855
2, 4, 1, cat, 13, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0029, 0, 0.7203
2, 4, 1, cat, 14, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0049, 1, 0.4785
2, 4, 1, cat, 15, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2_2back, 0.0069, 1, 0.5963
2, 4, 1, cat, 16, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0089, 1, 0.5540
2, 4, 1, cat, 17, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0109, 1, 0.5365
2, 4, 1, cat, 18, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0129, 1, 0.5983
2, 4, 1, cat, 19, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0149, 1, 0.5879
2, 4, 1, cat, 20, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0169, 1, 0.7303
2, 4, 1, cat, 21, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0022, 1, 0.6970
2, 4, 1, cat, 22, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2_2back, 0.0042, 1, 0.5271
2, 4, 1, cat, 23, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton_2back, 0.0062, 1, 0.5490
2, 4, 1, cat, 24, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0082, 1, 0.5390
2, 4, 1, cat, 25, 1, 1!, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0102, 0, 0.6649
2, 4, 1, cat, 26, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0122, 1, 0.7027
2, 4, 1, cat, 27, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0142, 1, 0.4690
2, 4, 1, cat, 28, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0162, 1, 0.5547
2, 4, 1, cat, 29, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0016, 1, 0.5137
2, 4, 1, cat, 30, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0035, 1, 0.6153
2, 4, 2, nback, 1, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0164, 1, 0.6667
