2, 5, 1, nback, 1, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0121, 1, 0.5885
2, 5, 1, nback, 2, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0141, 1, 0.4744
2, 5, 1, nback, 3, 1, 2@, 2@, 41, 065.jpg, singleton, nback_singleton_2back, 0.0161, 1, 0.4965
2, 5, 1, nback, 4, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0011, 1, 0.3918
2, 5, 1, nback, 5, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0034, 1, 0.4056
2, 5, 1, nback, 6, 1, 2@, 2@, 36, 043.jpg, different, nback_different_pair2_2back, 0.0054, 1, 0.6035
2, 5, 1, nback, 7, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0074, 1, 0.4654
2, 5, 1, nback, 8, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0094, 1, 0.4715
2, 5, 1, nback, 9, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0113, 1, 0.8213
2, 5, 1, nback, 10, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0134, 1, 0.6035
2, 5, 1, nback, 11, 1, 2@, 2@, 39, 081.jpg, different, nback_different_pair1_2back, 0.0154, 1, 0.4574
2, 5, 1, nback, 12, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0174, 1, 0.4871
2, 5, 1, nback, 13, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0027, 1, 0.7102
2, 5, 1, nback, 14, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0047, 1, 0.4601
2, 5, 1, nback, 15, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0067, 1, 0.5701
2, 5, 1, nback, 16, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0087, 1, 0.6321
2, 5, 1, nback, 17, 1, 2@, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0107, 0, 0.5902
2, 5, 1, nback, 18, 1, 2@, 2@, 31, 011.jpg, same, nback_same_pair1_2back, 0.0127, 1, 0.5962
