1, 1, 1, cat, 1, 0, , 1!, 19, 081.jpg, singleton, cat_singleton, 0.0121, 0, -1.0000
1, 1, 1, cat, 2, 0, , 2@, 23, 045.jpg, singleton, cat_singleton, 0.0142, 0, -1.0000
1, 1, 1, cat, 3, 0, , 2@, 7, 026.jpg, same, cat_same_pair1, 0.0159, 0, -1.0000
1, 1, 1, cat, 4, 0, , 2@, 8, 043.jpg, same, cat_same_pair2, 0.0012, 0, -1.0000
1, 1, 1, cat, 5, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0034, 1, 0.6060
1, 1, 1, cat, 6, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0055, 1, 0.5157
1, 1, 1, cat, 7, 1, 2@, 1!, 3, 066.jpg, same, cat_same_pair1_2back, 0.0075, 0, 0.5302
1, 1, 1, cat, 8, 1, 2@, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0093, 0, 0.6643
1, 1, 1, cat, 9, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0115, 1, 0.6781
1, 1, 1, cat, 10, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0133, 1, 0.7158
1, 1, 1, cat, 11, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0153, 1, 0.8502
1, 1, 1, cat, 12, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0173, 1, 0.7358
1, 1, 1, cat, 13, 0, , 2@, 22, 071.jpg, singleton, cat_singleton, 0.0027, 0, -1.0000
1, 1, 1, cat, 14, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0048, 1, 0.6844
1, 1, 1, cat, 15, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0068, 1, 0.5946
1, 1, 1, cat, 16, 1, 2@, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0086, 0, 0.7609
1, 1, 1, cat, 17, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0107, 1, 0.7348
1, 1, 1, cat, 18, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0127, 1, 0.7648
1, 1, 1, cat, 19, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0147, 1, 0.7227
1, 1, 1, cat, 20, 1, 1!, 2@, 16, 048.jpg, different, cat_different_pair2_2back, 0.0167, 0, 0.8166
1, 1, 1, cat, 21, 0, , 2@, 24, 070.jpg, singleton, cat_singleton, 0.0020, 0, -1.0000
1, 1, 1, cat, 22, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0039, 0, 0.6857
1, 1, 1, cat, 23, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton_2back, 0.0060, 1, 0.8353
1, 1, 1, cat, 24, 1, 2@, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0081, 0, 0.9371
1, 1, 1, cat, 25, 1, 2@, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0100, 0, 0.9673
1, 1, 1, cat, 26, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2_2back, 0.0121, 1, 0.7893
1, 1, 1, cat, 27, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton_2back, 0.0139, 1, 0.6837
1, 1, 1, cat, 28, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0159, 1, 0.7296
1, 1, 1, cat, 29, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0013, 0, 0.9202
1, 1, 1, cat, 30, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0033, 1, 0.6621
1, 1, 2, nback, 1, 0, , 1!, 43, 010.jpg, singleton, nback_singleton, 0.0160, 0, -1.0000
1, 1, 2, nback, 2, 0, , 1!, 39, 065.jpg, different, nback_different_pair1, 0.0016, 0, -1.0000
1, 1, 2, nback, 3, 0, , 1!, 40, 013.jpg, different, nback_different_pair2, 0.0036, 0, -1.0000
1, 1, 2, nback, 4, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0054, 1, 0.4440
1, 1, 2, nback, 5, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0076, 1, 0.7057
1, 1, 2, nback, 6, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0095, 1, 0.6556
1, 1, 2, nback, 7, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0116, 1, 0.4857
1, 1, 2, nback, 8, 1, 2@, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0136, 0, 0.8198
1, 1, 2, nback, 9, 1, 1!, 2@, 32, 009.jpg, same, nback_same_pair2_2back, 0.0155, 0, 0.8259
1, 1, 2, nback, 10, 1, 1!, 2@, 25, 072.jpg, same, nback_same_pair1_2back, 0.0176, 0, 0.5998
1, 1, 2, nback, 11, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0029, 1, 0.4703
1, 1, 2, nback, 12, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0047, 1, 0.4446
1, 1, 2, nback, 13, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0069, 1, 0.5625
