1, 2, 1, nback, 1, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0123, 1, 0.9649
1, 2, 1, nback, 2, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0143, 1, 0.5868
1, 2, 1, nback, 3, 1, 2@, 2@, 42, 061.jpg, singleton, nback_singleton_2back, 0.0163, 1, 0.6090
1, 2, 1, nback, 4, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0016, 1, 0.6235
1, 2, 1, nback, 5, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0034, 1, 0.7814
1, 2, 1, nback, 6, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0056, 1, 0.6916
1, 2, 1, nback, 7, 1, 2@, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0076, 0, 0.7772
1, 2, 1, nback, 8, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0094, 1, 0.8796
1, 2, 1, nback, 9, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0113, 1, 0.6937
1, 2, 1, nback, 10, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0136, 1, 0.5316
1, 2, 1, nback, 11, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0156, 1, 0.5696
1, 2, 1, nback, 12, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0174, 1, 0.5993
1, 2, 1, nback, 13, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0029, 1, 0.9822
1, 2, 1, nback, 14, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0047, 1, 0.6844
1, 2, 1, nback, 15, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0069, 1, 0.6343
1, 2, 1, nback, 16, 0, , 1!, 27, 030.jpg, same, nback_same_pair1, 0.0088, 0, -1.0000
1, 2, 1, nback, 17, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0108, 1, 0.4462
1, 2, 1, nback, 18, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0128, 1, 0.4599
1, 2, 1, nback, 19, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0147, 1, 0.6983
1, 2, 1, nback, 20, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0166, 1, 0.4964
1, 2, 1, nback, 21, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0022, 1, 0.5829
1, 2, 1, nback, 22, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0042, 1, 0.6848
1, 2, 1, nback, 23, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0061, 1, 0.6670
1, 2, 1, nback, 24, 1, 1!, 2@, 29, 091.jpg, same, nback_same_pair1_2back, 0.0080, 0, 0.6970
1, 2, 1, nback, 25, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0101, 1, 0.5188
1, 2, 1, nback, 26, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0121, 1, 0.6445
1, 2, 1, nback, 27, 1, 2@, 2@, 47, 094.jpg, singleton, nback_singleton_2back, 0.0141, 1, 0.9229
1, 2, 1, nback, 28, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0161, 1, 0.5929
1, 2, 1, nback, 29, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0014, 1, 0.7436
