2, 1, 1, nback, 1, 0, , 1!, 48, 012.jpg, singleton, nback_singleton, 0.0122, 0, -1.0000
2, 1, 1, nback, 2, 1, 2@, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0142, 0, 0.5396
2, 1, 1, nback, 3, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0162, 1, 0.5615
2, 1, 1, nback, 4, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0014, 1, 0.7762
2, 1, 1, nback, 5, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0035, 1, 0.6942
2, 1, 1, nback, 6, 1, 2@, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0055, 0, 0.8203
2, 1, 1, nback, 7, 0, , 1!, 30, 037.jpg, same, nback_same_pair2, 0.0075, 0, -1.0000
2, 1, 1, nback, 8, 1, 1!, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0095, 0, 0.6719
2, 1, 1, nback, 9, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0115, 1, 0.5502
2, 1, 1, nback, 10, 0, , 1!, 34, 038.jpg, different, nback_different_pair2, 0.0135, 0, -1.0000
2, 1, 1, nback, 11, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0155, 1, 0.5862
2, 1, 1, nback, 12, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0175, 1, 0.5361
2, 1, 1, nback, 13, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0028, 1, 0.7828
2, 1, 1, nback, 14, 1, 2@, 2@, 36, 043.jpg, different, nback_different_pair2_2back, 0.0048, 1, 0.6529
2, 1, 1, nback, 15, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0068, 1, 0.5146
2, 1, 1, nback, 16, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0088, 1, 0.6970
2, 1, 1, nback, 17, 1, 2@, 2@, 42, 025.jpg, singleton, nback_singleton_2back, 0.0108, 1, 0.5830
2, 1, 1, nback, 18, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0128, 1, 0.8450
2, 1, 1, nback, 19, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0148, 1, 0.8106
2, 1, 1, nback, 20, 1, 1!, 2@, 25, 059.jpg, same, nback_same_pair1_2back, 0.0168, 0, 0.8490
2, 1, 1, nback, 21, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0021, 1, 0.5596
2, 1, 1, nback, 22, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0039, 1, 0.5337
2, 1, 1, nback, 23, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0061, 1, 0.7236
2, 1, 1, nback, 24, 1, 2@, 2@, 46, 092.jpg, singleton, nback_singleton_2back, 0.0081, 1, 0.5057
2, 1, 1, nback, 25, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0101, 1, 0.8233
2, 1, 1, nback, 26, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0121, 1, 0.9253
2, 1, 1, nback, 27, 1, 1!, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0141, 0, 0.8197
2, 1, 1, nback, 28, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0160, 1, 0.8256
2, 1, 1, nback, 29, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0181, 1, 0.8637
2, 1, 1, nback, 30, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0034, 1, 0.8942
2, 1, 2, cat, 1, 0, , 2@, 24, 067.jpg, singleton, cat_singleton, 0.0163, 0, -1.0000
2, 1, 2, cat, 2, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0017, 1, 0.5439
2, 1, 2, cat, 3, 0, , 1!, 17, 063.jpg, singleton, cat_singleton, 0.0037, 0, -1.0000
2, 1, 2, cat, 4, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0057, 1, 0.5720
2, 1, 2, cat, 5, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0077, 0, 0.5137
2, 1, 2, cat, 6, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0097, 1, 0.5118
2, 1, 2, cat, 7, 1, 2@, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0117, 0, 0.7900
2, 1, 2, cat, 8, 1, 2@, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0137, 0, 0.8921
