2, 6, 1, cat, 1, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0073, 1, 0.6416
2, 6, 1, cat, 2, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0071, 1, 0.5687
2, 6, 1, cat, 3, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0070, 1, 0.5617
2, 6, 1, cat, 4, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0068, 1, 0.5329
2, 6, 1, cat, 5, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0066, 1, 0.4831
2, 6, 1, cat, 6, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1_2back, 0.0064, 1, 0.4305
2, 6, 1, cat, 7, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0063, 1, 0.5296
2, 6, 1, cat, 8, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0061, 1, 0.5298
2, 6, 1, cat, 9, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0059, 1, 0.5570
2, 6, 1, cat, 10, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0058, 1, 0.4891
2, 6, 1, cat, 11, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0056, 1, 0.4672
2, 6, 1, cat, 12, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0054, 1, 0.4465
2, 6, 1, cat, 13, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0053, 1, 0.4565
2, 6, 1, cat, 14, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2_2back, 0.0051, 1, 0.4926
2, 6, 1, cat, 15, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0049, 1, 0.4669
2, 6, 1, cat, 16, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0047, 1, 0.4741
2, 6, 1, cat, 17, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0046, 0, 0.5832
2, 6, 1, cat, 18, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0044, 1, 0.5073
2, 6, 1, cat, 19, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0042, 1, 0.5945
2, 6, 1, cat, 20, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0040, 1, 0.6258
2, 6, 1, cat, 21, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0039, 1, 0.5218
2, 6, 1, cat, 22, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0037, 1, 0.6971
2, 6, 1, cat, 23, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0035, 1, 0.4781
2, 6, 1, cat, 24, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0034, 1, 0.4624
2, 6, 1, cat, 25, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0032, 0, 0.4747
2, 6, 1, cat, 26, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0030, 1, 0.5148
2, 6, 1, cat, 27, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0027, 1, 0.5681
2, 6, 1, cat, 28, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0026, 1, 0.4591
2, 6, 1, cat, 29, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2_2back, 0.0108, 1, 0.4660
2, 6, 1, cat, 30, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0107, 1, 0.6912
2, 6, 2, nback, 1, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0096, 1, 0.6821
2, 6, 2, nback, 2, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0094, 1, 0.5933
2, 6, 2, nback, 3, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0092, 1, 0.5376
2, 6, 2, nback, 4, 1, 2@, 2@, 40, 051.jpg, different, nback_different_pair2_2back, 0.0090, 1, 0.4148
2, 6, 2, nback, 5, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0088, 1, 0.4570
2, 6, 2, nback, 6, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0087, 1, 0.3642
2, 6, 2, nback, 7, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0085, 1, 0.6094
2, 6, 2, nback, 8, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0083, 1, 0.3965
2, 6, 2, nback, 9, 1, 2@, 2@, 46, 092.jpg, singleton, nback_singleton_2back, 0.0082, 1, 0.4406
2, 6, 2, nback, 10, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0080, 1, 0.3868
2, 6, 2, nback, 11, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0078, 1, 0.4051
2, 6, 2, nback, 12, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0077, 1, 0.3901
2, 6, 2, nback, 13, 1, 2@, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0075, 1, 0.6583
2, 6, 2, nback, 14, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0073, 1, 0.5503
2, 6, 2, nback, 15, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0071, 1, 0.4737
2, 6, 2, nback, 16, 1, 2@, 2@, 35, 094.jpg, different, nback_different_pair1_2back, 0.0070, 1, 0.5058
2, 6, 2, nback, 17, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0067, 1, 0.3902
2, 6, 2, nback, 18, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0066, 1, 0.4212
2, 6, 2, nback, 19, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0064, 1, 0.4654
2, 6, 2, nback, 20, 1, 2@, 2@, 48, 012.jpg, singleton, nback_singleton_2back, 0.0063, 1, 0.4516
2, 6, 2, nback, 21, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0061, 1, 0.4937
2, 6, 2, nback, 22, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0059, 1, 0.4289
2, 6, 2, nback, 23, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0058, 1, 0.4991
2, 6, 2, nback, 24, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0056, 1, 0.5082
2, 6, 2, nback, 25, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0054, 1, 0.5164
2, 6, 2, nback, 26, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0052, 1, 0.4225
2, 6, 2, nback, 27, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0051, 1, 0.4617
2, 6, 2, nback, 28, 1, 2@, 2@, 34, 038.jpg, different, nback_different_pair2_2back, 0.0049, 1, 0.3639
2, 6, 2, nback, 29, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0047, 1, 0.3841
2, 6, 2, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0046, 1, 0.3992
2, 6, 3, cat, 1, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0034, 1, 0.5484
2, 6, 3, cat, 2, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0033, 1, 0.5165
2, 6, 3, cat, 3, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0031, 1, 0.5547
2, 6, 3, cat, 4, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0113, 1, 0.5174
